"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit of analysis","Data type","data.collection","Setting Type","Time period","Time scale (years)","Total treatments (including controls)","Number of intercrop or rotation treatments including grain legumes (not sole legumes)","Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls)","Total number of replicates per treatment","Number of study regions/sites","time.simpl","replicates.simp","Are the authors studying/identifying legume introduction intensification as the main source of ES change?","Are the authors studying/identifying legume introduction as the main source of wellbeing change?","What other drivers are identified as key to ES or well-being change?","Case_countries","Regional_groupings","Regional_groupings_ID","Subnational 
 case area (specify province/region)","Continent","WorldBank National Income Group","Latitude_Decimal_Degrees_N","Longitude (Decimal Degrees) E","Is intensification defined?","Authors' intensification definition","Study design","Intensification actors","Actors.categories","Type of land use intensification described","Simplified cropping system","Intensification type: Crop Change/Addition","Intensification type: Increased Rows/Strip width","Intensification type: Increased rotations","Spatial arrangement of intercropping","Other agro-ecological innovations","Recoded other agro-ecological innovations - Primary","Recoded other agro-ecological innovations - Secondary","Food system classification","Non-legume main crop","Legume_category","Grain legume product: Chickpea","Grain legume product: Cowpea","Grain legume product: Groundnut","Grain legume product: Lentil","Grain legume product: Mung bean","Grain legume product: Pigeonpea","Grain legume product: Faba Bean","Grain legume product: Common Bean","Grain legume product: Soybean","Grain legume product: Pea","Grain legume product: Grain legumes (unspecified/other)","Other products not target of intensification","Mineral Fertiliser
 N–P2O5–K2O kgha−1","Synthetic fertiliser category","Water source","Yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition","Biodiversity_structure","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined ecological-social outcome","Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?","If intensification is leading to changed demands, specify whose demand and which ES","IF Yes to changed demands: Are the changes disaggregated by different groups?","If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing","General factors enabling adoption","General factors constraining adoption","Factors identified as enabling ecosystem services","Factors identified as constraining ecosystem services","Factors identified as enabling well being","Factors identified as constraining well being","Notes","Documentation of methods of data extraction","Secondary reference","Study spatial design (do they have enough replicates?)","Study temporal design (do they collect data over multiple points in time?)","Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?)","Reporting","Risk of bias","Tools for assessment (Were valid and reliable tools used to assess  outcomes?)","Sum.Quality"
121,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","1.22","NA","NA","NA","NA","NA","NA","NA","NA",1.0581255,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.6,"NA","NA","NA","NA","1","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2",NA,2,2,2,2,2,2,12
122,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Grain / Soybean","Maize","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","1.0533333333333335","NA","NA","NA","NA","NA","NA","NA","NA",0.9614512,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.44,"NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2",NA,2,2,2,2,2,2,12
123,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Grain / Mungbean","Maize","Mungbean",0,0,0,0,1,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","1","NA","NA","NA","NA","NA","NA","NA","NA",0.9665911,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.5,"NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2",NA,2,2,2,2,2,2,12
124,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Grain / Cowpea","Maize","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","1.0666666666666667","NA","NA","NA","NA","NA","NA","NA","NA",1.1030234,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.56,"NA","NA","NA","NA","1","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2",NA,2,2,2,2,2,2,12
378,699,"Zougmore R., Kambou F.N., Ouattara K., Guillobez S.",2000,"Sorghum-cowpea intercropping: An effective technique against runoff and soil erosion in the sahel (saria, burkina faso)","Zougmore, R., Kambou, F. N., Ouattara, K., & Guillobez, S. (2000). Sorghum-cowpea Intercropping: An Effective Technique Against Runoff and Soil Erosion in the Sahel (Saria, Burkina Faso). Arid Soil Research and Rehabilitation, 14(4), 329-342. doi:10.1080/08903060050136441","Plot","Quantitative","Experiment (on farm)","E/M","1993-1995","3","5","2","3","1","1","2-4","1-2","Yes","Yes","Climate, water shortages","Burkina Faso","Subsaharan Africa",1,"Saria village","Africa","LIC","12.2754198093907","-2.1558648385594301","No","NA","Experiment (on farm)","Farmer-led","Farmer-led","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Existing farmers' practices- ploughing (cattle drawn)","Existing farmers' practices",NA,"Grain / Cowpea","Sorghum","Cowpea",0,1,0,0,0,0,0,0,0,0,"0","0","0-0-0","Synthetic - below threshold","rainfed","1.7","NA","NA","NA","NA","NA","NA","NA","NA",1.59764581545637,"NA","1.8258577596000909","NA","NA","NA","NA","NA","NA","NA","NA",1.63333333333333,"NA","NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","NA","droughts, climate (arid/semi-arid zones): ""in arid and semiarid zones where water supply is a major constraint, a cowpea soil cover favors inÐltration and thus results in greater available water reserves. Crops are thus better able to withstand recurrent droughts.""","NA","High rainfall (sorghum monoculture had 4 times more runoff than intercrop during very high rainfall year of 910mm, and approx twice runoff of intercrop during less wet years)","Ploughing/tillage (increased soil displacement and runoff)","NA","NA",NA,"Mean increase in grain yield reported page 338 ""Crop yields""; Table 1 - reduction in surface water loss (Ps+c/Ps); Table 2 - Soil formation (Ps+c/Ps); Table 4- natural capital (average);",NA,0,2,2,1,2,2,9
33,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Quantitative","Experiment (research station)","E/M","2015-2017","3","9","6","3","3","1","2-4","3-4","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Intercropping cereals with fodder legume crops like cowpea
and ricebean is a practice in the semi-arid tropics of India to
reduce the fragility and uncertainty of agricultural production
systems under rainfed upland situations. These systems
produce a considerable amount of biomass that can be
incorporated into the soil, transferring nutrients from the
crops to soil and enriching the organic carbon content. --Maize and other forage legumes such as sesbania,
cowpea, pigeonpea, ricebean, and mungbean are important
short-duration crops which provide more economic return
to growers than long-duration crops","India","South Asia",2,"Research Farm of All India Coordinated Research Project for Dryland
Agriculture (AICRPDA), Phulbani  in North Eastern Ghat Zone of Odisha","Asia","LMIC","20.466667000000001","84.233333000000002","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping rice-legume","Intercrop",1,0,0,"Row","also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Fertilizer rates/type",NA,"Grain / Cowpea","Rice","Cowpea",0,1,0,0,0,0,0,0,0,0,"0","0","N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF).","Synthetic - below threshold","rainfed","1.0733715103793844","NA","NA","NA","NA","NA","1.0880503144654088","NA","NA",0.935691318327974,"NA","NA","1.0509683187764658","NA","NA","NA","0.85055145859165959","0.94838709677419353","NA","NA",1.14,"NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","The leguminous fodders as intercrops with cereal crops have
special significances because of high herbage protein for
animal feeding and partial independence from concentrate
for their nitrogen needs.","NA","The
leaf area of the rice crop in intercropping systems were found
to be significantly higher than that in monocropping system
because rice plants were getting more nitrogen from soil
due to nitrogen fixation of leguminous fodder crops. --- Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.",NA,"Table 8_Rainwater use efficiency (RWUE), land equivalent ratio (LER), energy use efficiency (EUE), and economics as influenced by different cropping systems and different nutrient management practices1)",NA,2,2,2,2,2,2,12
34,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Quantitative","Experiment (research station)","E/M","2015-2017","3","9","6","3","3","1","2-4","3-4","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Not exclusively (also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Intercropping cereals with fodder legume crops like cowpea
and ricebean is a practice in the semi-arid tropics of India to
reduce the fragility and uncertainty of agricultural production
systems under rainfed upland situations. These systems
produce a considerable amount of biomass that can be
incorporated into the soil, transferring nutrients from the
crops to soil and enriching the organic carbon content. --Maize and other forage legumes such as sesbania,
cowpea, pigeonpea, ricebean, and mungbean are important
short-duration crops which provide more economic return
to growers than long-duration crops","India","South Asia",2,"Research Farm of All India Coordinated Research Project for Dryland
Agriculture (AICRPDA), Phulbani  in North Eastern Ghat Zone of Odisha","Asia","LMIC","20.466667000000001","84.233333000000002","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping rice-legume","Intercrop",1,0,0,"Row","also asessing influence of different fertilizing treatments: N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF))","Fertilizer rates/type",NA,"Grain / Ricebean","Rice","Ricebean",0,0,0,0,0,0,0,0,0,0,"Ricebean","0","N1, application of farm yard manure (FYM) at 5 t ha–1; N2, application of inorganic fertilizer (RDF of rice, 60:30:30 kg ha–1 of N:P2O5:K2O); N3, application of both FYM at 5 t ha–1 and 50% inorganic fertilizer (RDF).","Synthetic - below threshold","rainfed","1.0594130279169649","NA","NA","NA","NA","NA","1.0691823899371069","NA","NA",0.919614147909968,"NA","NA","1.0348892470434086","NA","NA","NA","0.8060432030281276","0.93548387096774188","NA","NA",1.13,"NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","The leguminous fodders as intercrops with cereal crops have
special significances because of high herbage protein for
animal feeding and partial independence from concentrate
for their nitrogen needs.","NA","The
leaf area of the rice crop in intercropping systems were found
to be significantly higher than that in monocropping system
because rice plants were getting more nitrogen from soil
due to nitrogen fixation of leguminous fodder crops. --- Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.","Rice yield
was higher in monocropping system than in rice and fodder
intercropping system when price was taken as a factor, but
when energy was taken as a factor rice yield of intercropping
system was higher than that of monocropping system.",NA,"Table 8_Rainwater use efficiency (RWUE), land equivalent ratio (LER), energy use efficiency (EUE), and economics as influenced by different cropping systems and different nutrient management practices1)",NA,2,2,2,2,2,2,12
58,105,"Choudhary V.K., Kumar P.S.",2016,"Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India","Choudhary, V. K., & Kumar, P. S. (2016). Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India. Proceedings of the National Academy of Sciences India Section B - Biological Sciences, 86(3), 547-557. doi:10.1007/s40011-014-0476-7","Plot","Quantitative","Experiment (research station)","E/M","2010-2011","2","9","8","1","3","1","2-4","3-4","Yes","Yes",NA,"India","South Asia",2,"Research Farm of ICAR Research Complex for NEH Region, Basar, Arunachal Pradesh","Asia","LMIC","27.980252","94.691135000000003","No","""increasing the crop yield and farm productivity""","Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,1,0,"Row","Existing farmers' practices, including mulch","Existing farmers' practices",NA,"Grain / Soybean","Maize","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"NA","Unknown","rainfed","1.29221689","NA","NA","NA","NA","NA","0.98780000000000001","NA","NA",2.8235294,"NA","NA","NA","NA","NA","NA","1.4048","NA","NA","NA",1.2742616,"NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","Yes: (1) row proportions: higher water use with increasing rows but lower energy input and higher energy use efficiency; (2) water use vs monetary benefit: increase in monetary benefit with water use to threshold then decrease (quadratic function)","NA","NA","Rainfall (higher rain in one year led to increased yield); Intercropping design - higher intercrop row density = higher yield, energy efficiency + soil moisture: ""Energy parameters were significantly (p\0.05) influenced by solitary and intercrops of legumes with their respective row proportions.""","NA","Labour ""Suitable technologies that are accessible to resource-poor farmers must be affordable in terms of labour, land, energy and capital investments ""","Intercropping design - higher intercrop row density = higher water use",NA,"NA",NA,2,2,2,1,2,2,11
59,105,"Choudhary V.K., Kumar P.S.",2016,"Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India","Choudhary, V. K., & Kumar, P. S. (2016). Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India. Proceedings of the National Academy of Sciences India Section B - Biological Sciences, 86(3), 547-557. doi:10.1007/s40011-014-0476-7","Plot","Quantitative","Experiment (research station)","E/M","2010-2011","2","9","8","1","3","1","2-4","3-4","Yes","Yes",NA,"India","South Asia",2,"Research Farm of ICAR Research Complex for NEH Region, Basar, Arunachal Pradesh","Asia","LMIC","27.980252","94.691135000000003","No","""increasing the crop yield and farm productivity""","Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,1,0,"Row","Existing farmers' practices, including mulch","Existing farmers' practices",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"NA","Unknown","rainfed","1.3805772300000001","NA","NA","NA","NA","NA","0.93200000000000005","NA","NA",3.220915,"NA","NA","NA","NA","NA","NA","1.583","NA","NA","NA",1.3769339,"NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","Yes: (1) row proportions: higher water use with increasing rows but lower energy input and higher energy use efficiency; (2) water use vs monetary benefit: increase in monetary benefit with water use to threshold then decrease (quadratic function)","NA","NA","Market prices (higher for groundnut); Rainfall (higher rain in one year led to increased yield); Intercropping design - higher intercrop row density = higher yield, energy efficiency + soil moisture: ""Energy parameters were significantly (p\0.05) influenced by solitary and intercrops of legumes with their respective row proportions.""",NA,"Labour ""Suitable technologies that are accessible to resource-poor farmers must be affordable in terms of labour, land, energy and capital investments ""","Intercropping design - higher intercrop row density = higher water use",NA,"NA",NA,2,2,2,1,2,2,11
60,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Quantitative","Experiment (research station)","E/M","2008-2011","3","5","3","2","3","1","2-4","3-4","Yes","Yes","Extreme weather (drought), water scarcity","India","South Asia",2,"Research Farm of ICAR Research Complex for NEH Region, Basar, Arunachal Pradesh","Asia","LMIC","27.980252","94.691135000000003","No","""Crop intensification was measured by calculating land utilisation efficiency by dividing the total duration of respective cropping systems by the numbers of days in a year (365 days), expressed in percentage.""","Experiment (research station)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices, including mulch","Existing farmers' practices",NA,"Grain / Pea","Maize","Pea",0,0,0,0,0,0,0,0,0,1,"0",NA,"80-60-40 (Maize); 20-60-30 (pea)","Synthetic - below threshold","rainfed","1.6865671600000001","1.0533399999999999","NA","NA","NA","NA","1.408573104","NA","NA",1.18681,"NA","NA","NA","NA","NA","NA","1.8736692690000001","NA","NA","NA",1.7621622,"NA","NA","NA","NA","1.667","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Yes (energy input highe but balanced by higher energy use efficiency of maize-legumes compared with maize-fallow)","NA","NA","Soil moisture content: ""growth of sequential crops depended solely on the moisture availability in the soil post rainy season""; mulch ""Crop yield was 18–35% higher under straw mulch than in the no-mulch condition""; Non-renewable energy sources (machinery, fuel)","NA","Renewable energy sources","Access to renewable energy",NA,"NA",NA,2,2,2,2,2,2,12
61,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Quantitative","Experiment (research station)","E/M","2008-2011","3","5","3","2","3","1","2-4","3-4","Yes","Yes","Extreme weather (drought), water scarcity","India","South Asia",2,"Research Farm of ICAR Research Complex for NEH Region, Basar, Arunachal Pradesh","Asia","LMIC","27.980252","94.691135000000003","No","""Crop intensification was measured by calculating land utilisation efficiency by dividing the total duration of respective cropping systems by the numbers of days in a year (365 days), expressed in percentage.""","Experiment (research station)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices, including mulch","Existing farmers' practices",NA,"Grain / Common bean","Maize","Common bean",0,0,0,0,0,0,0,1,0,0,"0",NA,"80-60-40 (Maize); 50-60-30 (bean)","Synthetic - below threshold","rainfed","1.9179104499999999","1.03525","NA","NA","NA","NA","1.46","NA","NA",1.24451,"NA","NA","NA","NA","NA","NA","2.499645138","NA","NA","NA",1.7513514,"NA","NA","NA","NA","1.9","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Yes (energy input highe but balanced by higher energy use efficiency of maize-legumes compared with maize-fallow)","NA","NA","Soil moisture content: ""growth of sequential crops depended solely on the moisture availability in the soil post rainy season""; mulch ""Crop yield was 18–35% higher under straw mulch than in the no-mulch condition""; Non-renewable energy sources (machinery, fuel)","NA","Renewable energy sources","Access to renewable energy",NA,"NA",NA,2,2,2,2,2,2,12
62,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Quantitative","Experiment (research station)","E/M","2008-2011","3","5","3","2","3","1","2-4","3-4","Yes","Yes","Extreme weather (drought), water scarcity","India","South Asia",2,"Research Farm of ICAR Research Complex for NEH Region, Basar, Arunachal Pradesh","Asia","LMIC","27.980252","94.691135000000003","No","""Crop intensification was measured by calculating land utilisation efficiency by dividing the total duration of respective cropping systems by the numbers of days in a year (365 days), expressed in percentage.""","Experiment (research station)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices, including mulch","Existing farmers' practices",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"80-60-40 (Maize); 20-60-30 (groundnut)","Synthetic - below threshold","rainfed","1.7835820899999999","1.07335","NA","NA","NA","NA","1.28","NA","NA",1.33516,"NA","NA","NA","NA","NA","NA","1.9215755859999999","NA","NA","NA",1.8891892,"NA","NA","NA","NA","1.7330000000000001","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Yes (energy input highe but balanced by higher energy use efficiency of maize-legumes compared with maize-fallow)","NA","NA","Soil moisture content: ""growth of sequential crops depended solely on the moisture availability in the soil post rainy season""; mulch ""Crop yield was 18–35% higher under straw mulch than in the no-mulch condition""; Non-renewable energy sources (machinery, fuel)","NA","Renewable energy sources","Access to renewable energy",NA,"NA",NA,2,2,2,2,2,2,12
